,Power
2016/1/9 4:00,16.073
2016/1/9 4:01,15.4903
2016/1/9 4:02,16.2719
2016/1/9 4:03,15.4121
2016/1/9 4:04,15.4761
2016/1/9 4:05,14.9147
2016/1/9 4:06,15.135
2016/1/9 4:07,15.2913
2016/1/9 4:08,15.2842
2016/1/9 4:09,15.6679
2016/1/9 4:10,15.8598
2016/1/9 4:11,16.5846
2016/1/9 4:12,16.7622
2016/1/9 4:13,16.8617
2016/1/9 4:14,17.8849
2016/1/9 4:15,18.0412
2016/1/9 4:16,18.7447
2016/1/9 4:17,18.3254
2016/1/9 4:18,18.8513
2016/1/9 4:19,18.8584
2016/1/9 4:20,19.0573
2016/1/9 4:21,19.5476
2016/1/9 4:22,19.4623
2016/1/9 4:23,20.0024
2016/1/9 4:24,19.9668
2016/1/9 4:25,20.1374
2016/1/9 4:26,20.2511
2016/1/9 4:27,19.711
2016/1/9 4:28,19.7892
2016/1/9 4:29,19.8816
2016/1/9 4:30,20.3719
2016/1/9 4:31,20.1516
2016/1/9 4:32,20.6561
2016/1/9 4:33,20.983
2016/1/9 4:34,22.4183
2016/1/9 4:35,22.0275
2016/1/9 4:36,22.5604
2016/1/9 4:37,23.1502
2016/1/9 4:38,23.3491
2016/1/9 4:39,23.3633
2016/1/9 4:40,24.7063
2016/1/9 4:41,25.1753
2016/1/9 4:42,25.4737
2016/1/9 4:43,25.7011
2016/1/9 4:44,26.0422
2016/1/9 4:45,26.2909
2016/1/9 4:46,26.298
2016/1/9 4:47,27.4491
2016/1/9 4:48,27.5273
2016/1/9 4:49,27.3567
2016/1/9 4:50,28.1739
2016/1/9 4:51,27.9465
2016/1/9 4:52,28.3799
2016/1/9 4:53,28.1881
2016/1/9 4:54,28.2733
2016/1/9 4:55,28.0246
2016/1/9 4:56,28.9768
2016/1/9 4:57,28.8702
2016/1/9 4:58,29.0408
2016/1/9 4:59,29.126
2016/1/9 5:00,29.1829
2016/1/9 5:01,29.2042
2016/1/9 5:02,28.5291
2016/1/9 5:03,28.6997
2016/1/9 5:04,28.6073
2016/1/9 5:05,28.6357
2016/1/9 5:06,28.3586
2016/1/9 5:07,28.4581
2016/1/9 5:08,27.8754
2016/1/9 5:09,28.5291
2016/1/9 5:10,29.5026
2016/1/9 5:11,30.0355
2016/1/9 5:12,29.396
2016/1/9 5:13,29.396
2016/1/9 5:14,30.7461
2016/1/9 5:15,31.1369
2016/1/9 5:16,32.1104
2016/1/9 5:17,32.0464
2016/1/9 5:18,32.018
2016/1/9 5:19,32.5083
2016/1/9 5:20,32.6007
2016/1/9 5:21,33.1833
2016/1/9 5:22,33.4818
2016/1/9 5:23,32.7357
2016/1/9 5:24,33.6523
2016/1/9 5:25,34.1923
2016/1/9 5:26,34.1639
2016/1/9 5:27,34.4624
2016/1/9 5:28,34.171
2016/1/9 5:29,34.3771
2016/1/9 5:30,34.3416
2016/1/9 5:31,33.766
2016/1/9 5:32,33.9152
2016/1/9 5:33,33.7802
2016/1/9 5:34,33.226
2016/1/9 5:35,33.0981
2016/1/9 5:36,32.4159
2016/1/9 5:37,32.9062
2016/1/9 5:38,33.027
2016/1/9 5:39,33.3823
2016/1/9 5:40,33.9436
2016/1/9 5:41,33.9081
2016/1/9 5:42,34.9597
2016/1/9 5:43,35.784
2016/1/9 5:44,36.2956
2016/1/9 5:45,36.8214
2016/1/9 5:46,36.4946
2016/1/9 5:47,35.6419
2016/1/9 5:48,35.9474
2016/1/9 5:49,36.5869
2016/1/9 5:50,36.1393
2016/1/9 5:51,37.1909
2016/1/9 5:52,38.2639
2016/1/9 5:53,37.8446
2016/1/9 5:54,38.6831
2016/1/9 5:55,38.7897
2016/1/9 5:56,39.9763
2016/1/9 5:57,40.9214
2016/1/9 5:58,42.1436
2016/1/9 5:59,42.4917
2016/1/9 6:00,43.2023
2016/1/9 6:01,44.0763
2016/1/9 6:02,44.5595
2016/1/9 6:03,43.8986
2016/1/9 6:04,43.8347
2016/1/9 6:05,43.6642
2016/1/9 6:06,43.1952
2016/1/9 6:07,43.387
2016/1/9 6:08,43.4936
2016/1/9 6:09,44.1118
2016/1/9 6:10,43.6926
2016/1/9 6:11,43.6784
2016/1/9 6:12,43.0673
2016/1/9 6:13,42.6694
2016/1/9 6:14,42.5983
2016/1/9 6:15,42.3709
2016/1/9 6:16,42.0085
2016/1/9 6:17,41.973
2016/1/9 6:18,41.7598
2016/1/9 6:19,42.0725
2016/1/9 6:20,41.0209
2016/1/9 6:21,40.4098
2016/1/9 6:22,40.7153
2016/1/9 6:23,41.3122
2016/1/9 6:24,40.7651
2016/1/9 6:25,41.1417
2016/1/9 6:26,40.9285
2016/1/9 6:27,40.2108
2016/1/9 6:28,40.5732
2016/1/9 6:29,40.225
2016/1/9 6:30,38.9886
2016/1/9 6:31,38.6831
2016/1/9 6:32,38.2781
2016/1/9 6:33,38.5623
2016/1/9 6:34,38.5339
2016/1/9 6:35,38.7968
2016/1/9 6:36,38.5055
2016/1/9 6:37,38.0933
2016/1/9 6:38,37.9512
2016/1/9 6:39,37.532
2016/1/9 6:40,36.9564
2016/1/9 6:41,37.0701
2016/1/9 6:42,36.5585
2016/1/9 6:43,35.7769
2016/1/9 6:44,35.8266
2016/1/9 6:45,34.8105
2016/1/9 6:46,34.8461
2016/1/9 6:47,33.9365
2016/1/9 6:48,33.226
2016/1/9 6:49,32.9275
2016/1/9 6:50,32.2738
2016/1/9 6:51,31.478
2016/1/9 6:52,31.6272
2016/1/9 6:53,30.9948
2016/1/9 6:54,30.2274
2016/1/9 6:55,29.6376
2016/1/9 6:56,29.7371
2016/1/9 6:57,29.2184
2016/1/9 6:58,29.5097
2016/1/9 6:59,29.3747
2016/1/9 7:00,28.7921
2016/1/9 7:01,28.3302
2016/1/9 7:02,27.8683
